s0,s1,s2,s3,s4,a0,a1,a2,a3,a4
587.0,437.0,466.0,386.0,442.0,109,92,75,64,89
587.0,436.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,386.0,442.0,109,92,75,64,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,436.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,386.0,442.0,109,92,75,64,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,467.0,386.0,442.0,109,92,75,64,89
587.0,437.0,466.0,386.0,442.0,109,92,75,64,89
587.0,437.0,466.0,385.0,442.0,109,92,75,65,89
587.0,437.0,466.0,386.0,442.0,109,92,75,64,89
598.0,437.0,467.0,391.0,442.0,115,92,75,61,89
615.0,442.0,471.0,408.0,442.0,124,89,73,52,89
636.0,451.0,485.0,440.0,450.0,135,84,65,34,85
653.0,465.0,505.0,464.0,461.0,144,76,53,20,78
664.0,482.0,530.0,496.0,474.0,150,66,39,2,71
674.0,498.0,551.0,520.0,496.0,156,57,27,0,58
678.0,515.0,571.0,547.0,519.0,158,48,16,0,45
680.0,530.0,590.0,572.0,536.0,159,39,5,0,36
679.0,547.0,611.0,596.0,558.0,158,30,0,0,23
681.0,561.0,629.0,617.0,569.0,159,22,0,0,17
680.0,573.0,643.0,637.0,584.0,159,15,0,0,9
679.0,581.0,658.0,660.0,604.0,158,10,0,0,0
680.0,587.0,666.0,671.0,613.0,159,7,0,0,0
680.0,591.0,670.0,674.0,620.0,159,5,0,0,0
680.0,594.0,673.0,676.0,627.0,159,3,0,0,0
679.0,595.0,674.0,676.0,629.0,158,2,0,0,0
680.0,596.0,677.0,677.0,634.0,159,2,0,0,0
680.0,596.0,678.0,677.0,636.0,159,2,0,0,0
679.0,596.0,678.0,677.0,636.0,158,2,0,0,0
680.0,596.0,680.0,678.0,639.0,159,2,0,0,0
680.0,596.0,680.0,678.0,640.0,159,2,0,0,0
680.0,595.0,679.0,677.0,640.0,159,2,0,0,0
680.0,596.0,682.0,678.0,641.0,159,2,0,0,0
680.0,596.0,682.0,678.0,640.0,159,2,0,0,0
680.0,596.0,682.0,678.0,641.0,159,2,0,0,0
680.0,595.0,681.0,678.0,640.0,159,2,0,0,0
680.0,596.0,682.0,677.0,640.0,159,2,0,0,0
679.0,596.0,683.0,679.0,641.0,158,2,0,0,0
680.0,596.0,682.0,678.0,640.0,159,2,0,0,0
680.0,596.0,681.0,678.0,640.0,159,2,0,0,0
680.0,596.0,682.0,678.0,640.0,159,2,0,0,0
679.0,596.0,683.0,678.0,641.0,158,2,0,0,0
680.0,596.0,682.0,678.0,640.0,159,2,0,0,0
679.0,596.0,682.0,678.0,640.0,158,2,0,0,0
679.0,596.0,682.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,677.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,682.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
679.0,596.0,683.0,678.0,640.0,158,2,0,0,0
677.0,596.0,683.0,678.0,640.0,157,2,0,0,0
676.0,596.0,683.0,678.0,641.0,157,2,0,0,0
676.0,596.0,683.0,678.0,640.0,157,2,0,0,0
676.0,596.0,683.0,678.0,641.0,157,2,0,0,0
676.0,597.0,683.0,677.0,640.0,157,1,0,0,0
675.0,596.0,681.0,678.0,639.0,156,2,0,0,0
667.0,591.0,678.0,662.0,634.0,152,5,0,0,0
647.0,564.0,649.0,617.0,609.0,141,20,0,0,0
620.0,536.0,618.0,570.0,573.0,127,36,0,0,15
600.0,509.0,588.0,520.0,545.0,116,51,6,0,31
584.0,480.0,557.0,475.0,525.0,108,68,24,14,42
573.0,464.0,538.0,451.0,508.0,102,77,35,27,52
567.0,455.0,527.0,432.0,497.0,99,82,41,38,58
565.0,445.0,515.0,411.0,484.0,98,87,48,50,65
558.0,436.0,502.0,386.0,474.0,94,92,55,64,71
551.0,428.0,491.0,368.0,468.0,90,97,61,74,74
548.0,422.0,477.0,361.0,460.0,88,100,69,78,79
548.0,420.0,472.0,356.0,454.0,88,102,72,81,82
548.0,419.0,467.0,349.0,447.0,88,102,75,85,86
548.0,419.0,464.0,347.0,444.0,88,102,77,86,88
548.0,419.0,459.0,343.0,441.0,88,102,79,88,90
548.0,419.0,457.0,341.0,441.0,88,102,81,90,90
548.0,419.0,455.0,339.0,440.0,88,102,82,91,90
548.0,419.0,453.0,338.0,441.0,88,102,83,91,90
548.0,419.0,453.0,338.0,441.0,88,102,83,91,90
548.0,419.0,453.0,338.0,440.0,88,102,83,91,90
548.0,419.0,453.0,338.0,440.0,88,102,83,91,90
548.0,419.0,453.0,338.0,441.0,88,102,83,91,90
548.0,419.0,453.0,338.0,440.0,88,102,83,91,90
547.0,419.0,453.0,338.0,440.0,88,102,83,91,90
548.0,419.0,453.0,338.0,440.0,88,102,83,91,90
548.0,419.0,453.0,338.0,439.0,88,102,83,91,91
548.0,419.0,453.0,338.0,439.0,88,102,83,91,91
548.0,419.0,454.0,338.0,439.0,88,102,82,91,91
548.0,419.0,454.0,338.0,440.0,88,102,82,91,90
548.0,419.0,454.0,338.0,440.0,88,102,82,91,90
548.0,419.0,453.0,338.0,440.0,88,102,83,91,90
554.0,419.0,454.0,341.0,440.0,92,102,82,90,90
567.0,420.0,454.0,348.0,441.0,99,102,82,86,90
577.0,424.0,454.0,355.0,442.0,104,99,82,82,89
588.0,429.0,455.0,363.0,444.0,110,96,82,77,88
593.0,433.0,458.0,384.0,446.0,112,94,80,65,87
595.0,434.0,460.0,393.0,448.0,114,94,79,60,86
596.0,434.0,460.0,393.0,448.0,114,94,79,60,86
597.0,434.0,460.0,393.0,448.0,115,94,79,60,86
596.0,434.0,460.0,393.0,448.0,114,94,79,60,86
596.0,434.0,460.0,393.0,448.0,114,94,79,60,86
596.0,434.0,460.0,393.0,448.0,114,94,79,60,86
596.0,434.0,460.0,393.0,448.0,114,94,79,60,86
596.0,434.0,460.0,392.0,448.0,114,94,79,61,86
597.0,434.0,460.0,392.0,448.0,115,94,79,61,86
596.0,434.0,460.0,392.0,448.0,114,94,79,61,86
595.0,434.0,460.0,392.0,448.0,114,94,79,61,86
595.0,434.0,460.0,392.0,448.0,114,94,79,61,86
594.0,434.0,460.0,392.0,448.0,113,94,79,61,86
595.0,434.0,460.0,392.0,447.0,114,94,79,61,86
594.0,434.0,460.0,392.0,447.0,113,94,79,61,86
594.0,434.0,460.0,392.0,448.0,113,94,79,61,86
594.0,434.0,460.0,392.0,447.0,113,94,79,61,86
594.0,434.0,460.0,392.0,447.0,113,94,79,61,86
592.0,434.0,460.0,392.0,447.0,112,94,79,61,86
590.0,434.0,460.0,392.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,448.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
589.0,434.0,460.0,391.0,447.0,110,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,392.0,448.0,111,94,79,61,86
590.0,434.0,460.0,391.0,448.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
589.0,434.0,460.0,391.0,447.0,110,94,79,61,86
590.0,434.0,459.0,390.0,447.0,111,94,79,62,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
590.0,434.0,460.0,391.0,447.0,111,94,79,61,86
