s0,s1,s2,s3,s4,t0,a0,a1,a2,a3,a4
661.0,434.0,567.0,547.0,585.0,0.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,1.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,0.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,0.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,0.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,474.0,149,95,19,0,8
661.0,434.0,568.0,547.0,586.0,690.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,853.0,149,95,19,0,9
660.0,433.0,567.0,547.0,585.0,926.0,148,95,19,0,9
661.0,434.0,568.0,547.0,585.0,949.0,149,95,19,0,9
660.0,434.0,567.0,547.0,585.0,971.0,148,95,19,0,9
661.0,434.0,568.0,547.0,586.0,977.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,977.0,149,95,19,0,9
661.0,433.0,567.0,547.0,585.0,978.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,980.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,982.0,149,95,19,0,9
661.0,434.0,567.0,548.0,586.0,984.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,985.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,985.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,985.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,980.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,970.0,149,95,19,0,9
660.0,433.0,567.0,547.0,585.0,941.0,148,95,19,0,9
661.0,434.0,567.0,547.0,585.0,858.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,779.0,149,95,19,0,9
660.0,434.0,567.0,547.0,585.0,597.0,148,95,19,0,9
661.0,434.0,568.0,547.0,586.0,250.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,200.0,149,95,19,0,9
660.0,434.0,567.0,547.0,585.0,238.0,148,95,19,0,9
661.0,434.0,567.0,547.0,585.0,244.0,149,95,19,0,9
661.0,434.0,567.0,547.0,586.0,243.0,149,95,19,0,8
660.0,434.0,567.0,547.0,585.0,436.0,148,95,19,0,9
661.0,434.0,567.0,547.0,586.0,793.0,149,95,19,0,8
661.0,434.0,568.0,547.0,586.0,860.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,941.0,149,95,19,0,9
661.0,434.0,567.0,547.0,586.0,959.0,149,95,19,0,8
661.0,434.0,568.0,547.0,585.0,970.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,979.0,149,95,19,0,8
661.0,434.0,568.0,547.0,585.0,982.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,985.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,987.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,988.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,989.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,989.0,149,95,19,0,9
662.0,434.0,568.0,547.0,586.0,989.0,149,95,19,0,8
661.0,434.0,568.0,547.0,586.0,986.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,979.0,149,95,19,0,9
661.0,434.0,567.0,547.0,586.0,963.0,149,95,19,0,8
660.0,434.0,567.0,547.0,585.0,914.0,148,95,19,0,9
660.0,434.0,567.0,547.0,585.0,802.0,148,95,19,0,9
661.0,434.0,568.0,547.0,585.0,650.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,271.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,240.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,238.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,250.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,376.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,709.0,149,95,19,0,9
661.0,433.0,567.0,547.0,585.0,802.0,149,95,19,0,9
660.0,434.0,567.0,547.0,585.0,892.0,148,95,19,0,9
661.0,434.0,568.0,547.0,585.0,947.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,967.0,149,95,19,0,8
661.0,434.0,567.0,547.0,586.0,977.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,982.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,987.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,990.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,991.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,992.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,992.0,149,95,19,0,8
661.0,434.0,567.0,548.0,586.0,990.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,985.0,149,95,19,0,9
661.0,433.0,567.0,547.0,585.0,964.0,149,95,19,0,9
661.0,434.0,568.0,547.0,586.0,901.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,750.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,543.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,264.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,216.0,149,95,19,0,9
661.0,434.0,568.0,548.0,586.0,0.0,149,95,19,0,8
661.0,434.0,567.0,546.0,585.0,0.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,184.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,223.0,149,95,19,0,9
661.0,434.0,567.0,546.0,585.0,231.0,149,95,19,0,9
662.0,434.0,568.0,547.0,586.0,397.0,149,95,19,0,8
661.0,434.0,567.0,547.0,585.0,636.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,742.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,818.0,149,95,19,0,9
661.0,434.0,567.0,547.0,585.0,875.0,149,95,19,0,9
